ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE
189634468,11/6/18,177,,,,PL 1306504,F,Q,112,0,45-64,M,WHITE HISPANIC
187591671,9/14/18,157,RAPE 1,104,RAPE,PL 1303501,F,Q,113,0,25-44,M,BLACK
187758697,9/18/18,440,,,,PL 1553502,F,K,84,0,25-44,M,BLACK
187758691,9/18/18,440,,,,PL 1553502,F,K,84,0,25-44,M,BLACK
188601148,10/10/18,,,,,,,B,43,0,25-44,M,BLACK
188636504,10/11/18,475,,,,PL 1651600,M,M,5,1,18-24,M,BLACK
188405535,10/5/18,,,,,,,B,41,0,25-44,M,WHITE HISPANIC
188385204,10/4/18,,,,,,,K,60,0,18-24,M,WHITE HISPANIC
188086153,9/27/18,,,,,PL 1701000,F,S,122,0,45-64,M,WHITE
188301847,10/3/18,,,,,PL 1701000,F,K,84,73,45-64,M,WHITE
188647425,10/11/18,,,,,,,M,9,0,25-44,M,WHITE HISPANIC
188190176,9/30/18,,,,,,,Q,113,0,25-44,M,BLACK
188298075,10/3/18,,,,,,,Q,104,0,45-64,M,WHITE HISPANIC
188151016,9/29/18,175,"SEXUAL ABUSE 3,2",233,SEX CRIMES,PL 13052A1,M,K,70,0,65+,M,WHITE
188158233,9/29/18,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200500,F,B,42,0,18-24,M,BLACK
188531447,10/9/18,475,,,,PL 1651601,M,B,52,1,25-44,M,BLACK
187760672,9/18/18,440,,,,PL 1553502,F,K,84,0,25-44,M,BLACK
187642054,9/15/18,113,"MENACING,UNCLASSIFIED",344,ASSAULT 3 & RELATED OFFENSES,PL 1201401,M,M,18,1,18-24,M,BLACK
188298051,10/3/18,,,,,PL 1701000,F,K,84,73,45-64,F,UNKNOWN
187644984,9/15/18,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K,75,0,25-44,M,WHITE HISPANIC
188240256,10/2/18,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200500,F,Q,113,0,45-64,M,BLACK
188601152,10/10/18,155,RAPE 2,104,RAPE,PL 1303001,F,K,77,0,45-64,M,WHITE HISPANIC
188377106,10/4/18,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1201400,M,K,73,0,18-24,M,BLACK
188411789,10/5/18,175,"SEXUAL ABUSE 3,2",233,SEX CRIMES,PL 1305500,M,M,26,0,65+,M,BLACK
188509890,10/8/18,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200000,M,K,73,0,25-44,M,BLACK
187832594,9/20/18,739,IDENTITY THFT-1,112,THEFT-FRAUD,PL 1908003,F,K,71,0,25-44,M,BLACK
188349027,10/4/18,681,"CHILD, ENDANGERING WELFARE",233,SEX CRIMES,PL 2601000,M,Q,103,0,25-44,M,BLACK
187898862,9/22/18,168,SODOMY 1,116,SEX CRIMES,PL 1305003,F,K,84,0,<18,F,BLACK
188096295,9/27/18,475,,,,PL 1651600,M,K,79,1,45-64,M,BLACK
188464924,10/7/18,157,RAPE 1,104,RAPE,PL 1303500,F,Q,110,0,25-44,M,WHITE HISPANIC
188122058,9/28/18,594,OBSCENITY 1,116,SEX CRIMES,PL 2631600,F,M,10,0,25-44,M,WHITE HISPANIC
187365190,9/9/18,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200502,F,K,79,0,25-44,M,BLACK
186586164,8/19/18,179,SEXUAL ABUSE 1,116,SEX CRIMES,PL 1306501,F,K,77,0,25-44,M,BLACK
187552704,9/13/18,475,,,,PL 1651600,M,M,23,0,25-44,M,BLACK
186892051,8/27/18,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,B,43,0,18-24,M,BLACK
187554937,9/13/18,475,,,,PL 1651600,M,M,23,1,45-64,M,BLACK
187529272,9/12/18,475,,,,PL 1651600,M,M,28,0,25-44,M,BLACK
186397510,8/14/18,179,SEXUAL ABUSE 1,116,SEX CRIMES,PL 1306503,F,M,25,0,<18,M,BLACK
186750244,8/23/18,177,,,,PL 1306504,F,S,120,0,45-64,M,WHITE
187552693,9/13/18,475,,,,PL 1651600,M,K,72,1,25-44,M,WHITE
187570790,9/13/18,475,,,,PL 1651601,M,M,34,0,25-44,M,WHITE HISPANIC
186844877,8/25/18,475,,,,PL 1651600,M,M,19,1,45-64,M,BLACK
186485408,8/16/18,157,RAPE 1,104,RAPE,PL 1303501,F,K,77,0,25-44,M,WHITE
186778871,8/23/18,729,"FORGERY,ETC.,UNCLASSIFIED-FELONY",113,FORGERY,PL 1702500,F,M,14,0,25-44,M,BLACK
186495471,8/16/18,475,,,,PL 1651600,M,M,23,0,25-44,M,WHITE HISPANIC
186965102,8/29/18,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,K,68,0,45-64,M,WHITE
187055943,8/31/18,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,B,42,0,25-44,M,BLACK
187529554,9/13/18,849,"NY STATE LAWS,UNCLASSIFIED VIOLATION",677,OTHER STATE LAWS,LOC000000V,V,K,75,1,25-44,M,BLACK
187462026,9/11/18,969,"TRAFFIC,UNCLASSIFIED INFRACTION",881,OTHER TRAFFIC INFRACTION,VTL051101A,M,B,45,0,45-64,M,WHITE
186850113,8/26/18,509,POSSESSION HYPODERMIC INSTRUMENT,235,DANGEROUS DRUGS,PL 2204500,M,K,83,0,25-44,M,WHITE HISPANIC
186851855,8/26/18,750,RESISTING ARREST,359,OFFENSES AGAINST PUBLIC ADMINISTRATION,PL 2053000,M,M,13,0,25-44,M,BLACK
185727554,7/28/18,168,SODOMY 1,116,SEX CRIMES,PL 1305001,F,M,25,0,25-44,M,WHITE
185396520,7/20/18,153,RAPE 3,104,RAPE,PL 1302501,F,B,41,0,25-44,M,WHITE HISPANIC
185194927,7/15/18,665,,,,PL 4902001,F,S,120,0,45-64,M,BLACK
185776628,7/30/18,175,"SEXUAL ABUSE 3,2",233,SEX CRIMES,PL 13052A1,M,B,41,0,25-44,M,BLACK
186239378,8/10/18,742,ESCAPE 3,237,ESCAPE 3,PL 2050500,M,M,1,0,25-44,F,BLACK
185778894,7/30/18,157,RAPE 1,104,RAPE,PL 1303501,F,M,25,0,25-44,M,BLACK
186298217,8/11/18,157,RAPE 1,104,RAPE,PL 1303504,F,K,84,0,25-44,M,WHITE HISPANIC
185809969,7/31/18,155,RAPE 2,104,RAPE,PL 1303001,F,K,75,0,25-44,M,BLACK
186042508,8/5/18,168,SODOMY 1,116,SEX CRIMES,PL 1305001,F,K,81,0,25-44,M,BLACK
185402980,7/20/18,397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,ROBBERY,PL 1601502,F,B,41,0,18-24,M,BLACK
186082024,8/6/18,968,UNLICENSED OPERATOR,880,MOVING INFRACTIONS,VTL0509001,I,K,76,0,18-24,M,BLACK
185918392,8/1/18,586,,,,PL 2303400,F,M,5,0,25-44,M,BLACK
185118174,7/13/18,739,IDENTITY THFT-1,112,THEFT-FRAUD,PL 1908003,F,Q,105,0,45-64,M,BLACK
185404518,7/20/18,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,5,0,45-64,M,WHITE HISPANIC
185503286,7/23/18,259,"MISCHIEF,CRIMINAL     UNCLASSIFIED 4TH DEG",351,CRIMINAL MISCHIEF & RELATED OFFENSES,PL 1450001,M,Q,115,0,<18,F,ASIAN / PACIFIC ISLANDER
186229595,8/9/18,563,PROSTITUTION,356,PROSTITUTION & RELATED OFFENSES,PL 2300000,M,B,52,0,25-44,M,BLACK
186188984,8/9/18,849,"NY STATE LAWS,UNCLASSIFIED VIOLATION",677,OTHER STATE LAWS,LOC000000V,V,K,61,1,18-24,M,BLACK
185356400,7/19/18,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,M,25,0,18-24,M,WHITE HISPANIC
185663321,7/26/18,339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,PETIT LARCENY,PL 1552500,M,Q,103,0,25-44,M,WHITE
185984175,8/3/18,181,"IMPRISONMENT 2,UNLAWFUL",355,OFFENSES AGAINST THE PERSON,PL 1350500,M,K,79,0,25-44,M,BLACK
185660313,7/26/18,586,,,,PL 2303400,F,M,5,0,25-44,M,BLACK
185842337,7/31/18,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200502,F,K,73,0,18-24,F,BLACK
184214075,6/21/18,475,,,,PL 1651600,M,M,13,1,25-44,M,BLACK
184390118,6/24/18,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,S,122,0,25-44,M,WHITE
184424277,6/25/18,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200501,F,M,10,0,25-44,M,WHITE
184565445,6/28/18,475,,,,PL 1651600,M,K,70,1,25-44,M,BLACK
184220895,6/21/18,153,RAPE 3,104,RAPE,PL 1302502,F,B,52,0,45-64,M,WHITE HISPANIC
184628522,6/30/18,586,,,,PL 230341A,F,M,32,0,18-24,F,BLACK
183685408,6/10/18,475,,,,PL 1651601,M,Q,115,3,45-64,M,BLACK
184898244,7/8/18,177,,,,PL 1306504,F,B,42,2,25-44,M,BLACK
185001290,7/10/18,155,RAPE 2,104,RAPE,PL 1303002,F,B,42,0,45-64,M,BLACK
183623472,6/8/18,475,,,,PL 1651600,M,M,14,0,45-64,M,BLACK
185020617,7/11/18,157,RAPE 1,104,RAPE,PL 1303501,F,K,77,0,18-24,M,BLACK
184806084,7/5/18,164,SODOMY 3,116,SEX CRIMES,PL 1304001,F,K,75,0,25-44,M,BLACK HISPANIC
183819600,6/13/18,157,RAPE 1,104,RAPE,PL 1303501,F,K,77,0,25-44,M,BLACK
185039198,7/11/18,168,SODOMY 1,116,SEX CRIMES,PL 1305001,F,S,120,0,18-24,M,WHITE
184977111,7/10/18,175,"SEXUAL ABUSE 3,2",233,SEX CRIMES,PL 13052A1,M,K,77,0,45-64,M,BLACK
183916201,6/16/18,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,34,0,45-64,F,BLACK HISPANIC
184628517,6/30/18,586,,,,PL 230345A,F,M,25,0,25-44,M,BLACK
184642706,6/30/18,586,,,,PL 2303405,F,B,47,0,25-44,M,BLACK
184000689,6/17/18,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,42,0,25-44,F,WHITE HISPANIC
184166171,6/20/18,259,"MISCHIEF,CRIMINAL     UNCLASSIFIED 4TH DEG",351,CRIMINAL MISCHIEF & RELATED OFFENSES,PL 1450001,M,Q,103,0,<18,M,ASIAN / PACIFIC ISLANDER
184948007,7/9/18,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,M,5,0,25-44,M,BLACK
184949802,7/9/18,705,"FORGERY,ETC.-MISD.",358,OFFENSES INVOLVING FRAUD,PL 1702000,M,M,25,0,25-44,M,BLACK
183918818,6/16/18,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,40,0,<18,F,BLACK HISPANIC
184331226,6/22/18,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200501,F,Q,102,0,25-44,F,BLACK
184727531,7/3/18,478,"THEFT OF SERVICES, UNCLASSIFIED",343,OTHER OFFENSES RELATED TO THEFT,PL 1651503,M,B,44,1,18-24,M,WHITE HISPANIC
184600628,6/29/18,177,,,,PL 1306504,F,Q,110,0,25-44,M,WHITE HISPANIC
184839029,7/6/18,177,,,,PL 1306504,F,K,77,0,45-64,M,BLACK
183098765,5/25/18,157,RAPE 1,104,RAPE,PL 1303503,F,B,41,0,25-44,M,WHITE HISPANIC
191278150,12/18/18,475,,,,PL 1651601,M,B,52,1,18-24,F,BLACK
191278148,12/18/18,475,,,,PL 1651601,M,B,52,1,18-24,F,BLACK HISPANIC
182983222,5/22/18,157,RAPE 1,104,RAPE,PL 1303502,F,B,40,2,18-24,M,BLACK
191239824,12/17/18,475,,,,PL 1651601,M,M,25,0,<18,M,BLACK
183557730,6/6/18,168,SODOMY 1,116,SEX CRIMES,PL 1305003,F,S,120,0,18-24,M,BLACK
183427259,6/3/18,175,"SEXUAL ABUSE 3,2",233,SEX CRIMES,PL 13052A2,M,B,50,0,45-64,M,BLACK
191116817,12/12/18,586,,,,PL 230345A,F,K,73,0,18-24,M,BLACK
183164051,5/27/18,157,RAPE 1,104,RAPE,PL 1303501,F,K,71,0,25-44,M,WHITE HISPANIC
191371123,12/20/18,475,,,,PL 1651601,M,M,7,1,18-24,M,BLACK
182985702,5/22/18,176,,,,PL 1309600,F,B,43,1,25-44,M,WHITE HISPANIC
191293469,12/18/18,475,,,,PL 1651601,M,Q,103,1,18-24,M,BLACK
191183910,12/15/18,157,RAPE 1,104,RAPE,PL 1303501,F,K,77,0,25-44,M,WHITE HISPANIC
183437583,6/4/18,475,,,,PL 1651601,M,B,44,1,45-64,M,BLACK
183254178,5/29/18,157,RAPE 1,104,RAPE,PL 1303501,F,Q,115,0,18-24,M,WHITE HISPANIC
191697009,12/31/18,665,,,,PL 4902001,F,K,62,0,45-64,M,WHITE
183008541,5/22/18,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,K,66,0,45-64,M,WHITE
190832153,12/6/18,157,RAPE 1,104,RAPE,PL 1303502,F,K,60,0,25-44,M,ASIAN / PACIFIC ISLANDER
183513621,6/5/18,117,RECKLESS ENDANGERMENT 1,126,MISCELLANEOUS PENAL LAW,PL 1202500,F,K,75,0,45-64,M,WHITE HISPANIC
191426717,12/21/18,705,"FORGERY,ETC.-MISD.",358,OFFENSES INVOLVING FRAUD,PL 1702000,M,M,34,0,25-44,M,WHITE HISPANIC
183311457,5/31/18,779,"PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY",126,MISCELLANEOUS PENAL LAW,PL 215510B,F,Q,105,0,25-44,M,BLACK
191533209,12/26/18,439,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109,GRAND LARCENY,PL 1553004,F,M,14,0,25-44,M,BLACK
191048574,12/12/18,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200000,M,Q,106,0,25-44,M,ASIAN / PACIFIC ISLANDER
191163934,12/14/18,792,WEAPONS POSSESSION 1 & 2,118,DANGEROUS WEAPONS,PL 2650303,F,K,81,0,18-24,M,BLACK
191415157,12/21/18,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200501,F,S,121,0,45-64,F,WHITE
191130960,12/14/18,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,5,0,25-44,M,BLACK
183332054,5/31/18,339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,PETIT LARCENY,PL 1552500,M,M,10,0,45-64,M,BLACK
183091371,5/24/18,177,,,,PL 1306504,F,B,41,0,25-44,M,BLACK
175078477,2/22/18,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200501,F,B,50,0,<18,M,BLACK
190467679,11/27/18,,,,,,,K,73,0,25-44,M,BLACK
190868305,12/7/18,478,"THEFT OF SERVICES, UNCLASSIFIED",343,OTHER OFFENSES RELATED TO THEFT,PL 1651503,M,Q,109,0,25-44,M,WHITE
190823028,12/6/18,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211300,F,M,10,0,25-44,M,BLACK
174872546,2/16/18,475,,,,PL 1651600,M,M,5,1,25-44,M,WHITE HISPANIC
191026376,12/11/18,475,,,,PL 1651601,M,Q,103,1,25-44,M,BLACK
190847025,12/7/18,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,M,26,0,25-44,M,BLACK
191119543,12/12/18,586,,,,PL 230345A,F,K,67,0,45-64,F,BLACK
174891886,2/16/18,475,,,,PL 1651600,M,B,43,1,45-64,M,WHITE HISPANIC
174820655,2/15/18,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,52,0,18-24,F,BLACK
190530536,11/29/18,681,"CHILD, ENDANGERING WELFARE",233,SEX CRIMES,PL 2601001,M,B,43,0,25-44,M,BLACK
190748812,12/4/18,681,"CHILD, ENDANGERING WELFARE",233,SEX CRIMES,PL 2601001,M,Q,113,0,25-44,M,BLACK
190968552,12/10/18,475,,,,PL 1651601,M,Q,107,1,18-24,F,BLACK
175262965,2/27/18,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200501,F,Q,105,0,<18,F,BLACK
174308844,2/1/18,177,,,,PL 1306504,F,K,77,0,45-64,M,WHITE
174675938,2/12/18,475,,,,PL 1651601,M,M,7,1,45-64,M,BLACK
174026862,1/25/18,665,,,,PL 4902001,F,K,70,0,25-44,M,WHITE
174101503,1/27/18,263,"ARSON 2,3,4",114,ARSON,PL 1501500,F,K,90,97,25-44,M,WHITE HISPANIC
173779611,1/19/18,586,,,,PL 2303405,F,K,61,0,18-24,F,WHITE
174447748,2/6/18,157,RAPE 1,104,RAPE,PL 1303501,F,Q,112,0,45-64,M,WHITE HISPANIC
174110964,1/27/18,153,RAPE 3,104,RAPE,PL 1302503,F,Q,112,0,18-24,M,WHITE HISPANIC
174345952,2/2/18,475,,,,PL 1651601,M,M,25,1,25-44,M,WHITE
173846182,1/21/18,707,"IMPERSONATION 2, PUBLIC SERVANT",340,FRAUDS,PL 1902300,M,M,23,0,25-44,M,BLACK
174502165,2/7/18,397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,ROBBERY,PL 160102A,F,S,120,0,<18,M,BLACK
174194439,1/30/18,475,,,,PL 1651600,M,B,46,1,25-44,M,BLACK
174758156,2/13/18,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,S,120,0,18-24,F,BLACK
174675933,2/9/18,586,,,,PL 2303400,F,M,5,0,25-44,F,BLACK
174095573,1/27/18,475,,,,PL 1651601,M,Q,103,1,45-64,M,BLACK
174105787,1/27/18,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K,77,0,18-24,F,WHITE HISPANIC
173767095,1/18/18,475,,,,PL 1651600,M,B,44,1,25-44,M,WHITE HISPANIC
174105790,1/27/18,440,,,,PL 1553502,F,K,79,0,25-44,F,BLACK
174762602,2/13/18,177,,,,PL 1306504,F,Q,112,0,18-24,M,WHITE HISPANIC
174087549,1/26/18,475,,,,PL 1651601,M,M,1,1,45-64,M,BLACK
174162071,1/29/18,179,SEXUAL ABUSE 1,116,SEX CRIMES,PL 1306502,F,M,5,2,45-64,M,BLACK
173950213,1/23/18,475,,,,PL 1651601,M,K,79,1,25-44,M,BLACK
173323642,1/6/18,968,UNLICENSED OPERATOR,880,MOVING INFRACTIONS,VTL0509001,I,Q,107,0,18-24,M,BLACK HISPANIC
173270069,1/4/18,339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,PETIT LARCENY,PL 1552500,M,K,66,0,45-64,M,BLACK
173541837,1/12/18,475,,,,PL 1651601,M,Q,103,1,18-24,M,BLACK
173553588,1/12/18,515,"CONTROLLED SUBSTANCE,SALE 3",117,DANGEROUS DRUGS,PL 2203901,F,B,44,0,25-44,M,BLACK
173373418,1/8/18,397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,ROBBERY,PL 1601002,F,Q,106,0,45-64,M,BLACK
173668740,1/16/18,475,,,,PL 1651600,M,M,14,1,45-64,M,BLACK
173193430,1/2/18,168,SODOMY 1,116,SEX CRIMES,PL 1305001,F,K,79,0,45-64,M,BLACK
173505940,1/11/18,157,RAPE 1,104,RAPE,PL 1303501,F,S,120,0,18-24,M,BLACK
178853818,5/2/18,155,RAPE 2,104,RAPE,PL 1303001,F,S,120,0,25-44,F,BLACK
180596399,5/3/18,175,"SEXUAL ABUSE 3,2",233,SEX CRIMES,PL 1306002,M,K,60,0,25-44,M,WHITE
180158985,5/3/18,157,RAPE 1,104,RAPE,PL 1303502,F,K,77,0,45-64,M,BLACK
182723593,5/15/18,475,,,,PL 1651600,M,M,18,1,25-44,M,BLACK
179487031,5/3/18,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200501,F,M,5,0,25-44,F,WHITE
182471338,5/8/18,475,,,,PL 1651600,M,B,43,0,25-44,M,BLACK
182478206,5/8/18,143,ABORTION 1,123,ABORTION,PL 1254000,F,B,41,0,25-44,M,WHITE HISPANIC
182342171,5/6/18,168,SODOMY 1,116,SEX CRIMES,PL 1305002,F,Q,101,0,25-44,M,BLACK
182774370,5/16/18,475,,,,PL 1651601,M,K,75,1,45-64,M,BLACK
181271606,5/4/18,440,,,,PL 1553502,F,M,5,0,25-44,F,WHITE HISPANIC
181319017,5/4/18,176,,,,PL 1309600,F,B,44,0,25-44,M,WHITE HISPANIC
181271607,5/4/18,155,RAPE 2,104,RAPE,PL 1303001,F,M,5,0,18-24,M,BLACK
182701757,5/14/18,707,"IMPERSONATION 2, PUBLIC SERVANT",340,FRAUDS,PL 1902300,M,K,90,0,18-24,M,BLACK
182619582,5/12/18,153,RAPE 3,104,RAPE,PL 1302501,F,K,66,0,<18,M,WHITE HISPANIC
181417340,5/4/18,475,,,,PL 1651601,M,K,73,1,45-64,M,BLACK
182499836,5/9/18,153,RAPE 3,104,RAPE,PL 1302503,F,K,77,0,25-44,M,WHITE
178101864,4/12/18,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1201001,F,K,67,0,45-64,M,BLACK
178161238,4/14/18,397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,ROBBERY,PL 1601503,F,Q,107,0,18-24,M,BLACK
178092396,4/12/18,177,,,,PL 1306504,F,Q,112,0,25-44,M,ASIAN / PACIFIC ISLANDER
178761299,4/30/18,339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,PETIT LARCENY,PL 1552500,M,M,28,0,45-64,M,BLACK
178681596,4/28/18,179,SEXUAL ABUSE 1,116,SEX CRIMES,PL 1306503,F,B,41,0,45-64,M,BLACK HISPANIC
178719114,4/29/18,157,RAPE 1,104,RAPE,PL 1303501,F,B,47,0,45-64,M,BLACK
178306872,4/18/18,153,RAPE 3,104,RAPE,PL 1302502,F,M,25,0,25-44,M,WHITE
178135124,4/13/18,475,,,,PL 1651601,M,M,1,1,45-64,M,BLACK
178039669,4/11/18,168,SODOMY 1,116,SEX CRIMES,PL 1305001,F,M,25,0,45-64,M,WHITE
178619321,4/26/18,157,RAPE 1,104,RAPE,PL 1303501,F,B,45,0,25-44,M,WHITE HISPANIC
178292471,4/18/18,261,ARSON 1,114,ARSON,PL 1502001,F,M,9,0,25-44,M,UNKNOWN
178087771,4/12/18,157,RAPE 1,104,RAPE,PL 1303501,F,Q,112,0,<18,M,BLACK
178306846,4/17/18,513,,,,PL 2207700,F,B,46,0,25-44,M,BLACK
178042316,4/11/18,475,,,,PL 1651601,M,Q,103,1,18-24,M,BLACK
178078668,4/12/18,440,,,,PL 1553502,F,M,19,0,25-44,M,BLACK
178136850,4/13/18,475,,,,PL 1651601,M,M,1,1,45-64,M,BLACK
178630278,4/26/18,157,RAPE 1,104,RAPE,PL 1303501,F,B,45,0,18-24,M,BLACK HISPANIC
178306848,4/18/18,475,,,,PL 1651600,M,B,43,0,45-64,M,BLACK
178289235,4/18/18,739,"FRAUD,UNCLASSIFIED-FELONY",112,THEFT-FRAUD,PL 1753500,F,M,9,0,45-64,M,UNKNOWN
177845180,4/5/18,203,"TRESPASS 3, CRIMINAL",352,CRIMINAL TRESPASS,PL 140100E,M,M,24,2,25-44,M,BLACK
176285265,3/25/18,263,"ARSON 2,3,4",114,ARSON,PL 1500501,F,B,45,0,<18,M,BLACK
176188361,3/22/18,475,,,,PL 1651601,M,M,10,1,25-44,M,BLACK
175865899,3/14/18,475,,,,PL 1651601,M,B,52,1,25-44,M,BLACK
176357006,3/27/18,475,,,,PL 1651601,M,M,25,1,25-44,M,BLACK
177108504,3/29/18,475,,,,PL 1651601,M,Q,103,1,25-44,M,BLACK
177119986,3/29/18,157,RAPE 1,104,RAPE,PL 1303501,F,K,77,0,18-24,M,BLACK
176077991,3/19/18,153,RAPE 3,104,RAPE,PL 1302502,F,Q,114,0,25-44,M,WHITE
176441428,3/28/18,203,"TRESPASS 3, CRIMINAL",352,CRIMINAL TRESPASS,PL 1401000,M,Q,103,0,<18,M,BLACK
